destination_zone_id,total_volume,number_of_origins,avg_distance_mile,avg_travel_time_min,google_maps_link
1,880,23,7.84443,13.3232,"https://www.google.com/maps/search/?api=1&query=33.329291,-111.958574"
2,400,19,6.24475,11.6171,"https://www.google.com/maps/search/?api=1&query=33.329354,-111.922345"
3,280,18,6.20607,10.6743,"https://www.google.com/maps/search/?api=1&query=33.327312,-111.948389"
4,1170,23,6.46615,7.10286,"https://www.google.com/maps/search/?api=1&query=33.418651,-111.968541"
5,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.418289,-111.932660"
6,760,23,4.99197,8.35859,"https://www.google.com/maps/search/?api=1&query=33.385992,-111.971473"
7,1210,23,5.20579,9.13093,"https://www.google.com/maps/search/?api=1&query=33.382844,-111.964630"
8,1670,23,6.05228,9.17044,"https://www.google.com/maps/search/?api=1&query=33.400843,-111.973275"
9,1630,23,5.28601,9.79572,"https://www.google.com/maps/search/?api=1&query=33.384501,-111.888688"
10,4510,23,5.06404,25.2303,"https://www.google.com/maps/search/?api=1&query=33.412632,-111.936230"
11,2240,23,3.91116,8.34549,"https://www.google.com/maps/search/?api=1&query=33.381985,-111.935542"
12,1400,23,4.22593,9.45025,"https://www.google.com/maps/search/?api=1&query=33.389228,-111.935024"
13,1450,23,3.7631,8.18003,"https://www.google.com/maps/search/?api=1&query=33.370970,-111.937295"
14,1410,23,3.49844,8.31746,"https://www.google.com/maps/search/?api=1&query=33.371174,-111.919730"
15,2130,23,4.92319,10.2192,"https://www.google.com/maps/search/?api=1&query=33.371047,-111.902345"
16,2610,23,4.34383,10.3867,"https://www.google.com/maps/search/?api=1&query=33.356461,-111.919859"
17,2340,23,5.77167,11.2056,"https://www.google.com/maps/search/?api=1&query=33.356491,-111.902798"
18,470,19,5.07468,10.1041,"https://www.google.com/maps/search/?api=1&query=33.341870,-111.950374"
19,1280,22,4.6118,9.27058,"https://www.google.com/maps/search/?api=1&query=33.355130,-111.957557"
20,1840,22,4.68473,8.68184,"https://www.google.com/maps/search/?api=1&query=33.356452,-111.937176"
21,1100,21,5.87782,9.57699,"https://www.google.com/maps/search/?api=1&query=33.341950,-111.902393"
22,2440,23,4.60869,8.61592,"https://www.google.com/maps/search/?api=1&query=33.371702,-111.952951"
23,1450,22,6.2449,8.92158,"https://www.google.com/maps/search/?api=1&query=33.433453,-111.911367"
24,780,19,6.29872,9.41579,"https://www.google.com/maps/search/?api=1&query=33.428841,-111.934920"
25,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.417094,-111.886814"
26,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.385525,-111.918062"
27,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.385844,-111.900449"
28,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.341917,-111.919809"
29,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.455345,-111.934954"
30,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.427410,-111.886838"
31,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.400180,-111.934906"
32,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.418997,-111.916175"
33,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.411144,-111.917686"
34,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.418429,-111.900249"
35,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.411132,-111.900266"
36,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.396579,-111.952084"
37,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.382006,-111.952668"
38,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.442681,-111.942408"
39,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.429218,-111.952519"
40,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.416665,-111.922074"
41,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.414665,-111.952179"
42,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.400242,-111.900211"
43,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.394347,-111.886762"
44,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.400248,-111.917711"
